Species2_eBird,Family2,Order2,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Migration,Primary.Lifestyle,mu.beak.l.c,mu.beak.l.n,mu.beak.w,mu.beak.d,mu.tarsus.l,mu.hwi,mu.tail.l
Accipiter novaehollandiae,Accipitridae,Accipitriformes,326.1,Forest,1,Carnivore,Vertivore,1,Insessorial,31.606250000000003,19.885714285714286,11.50625,16.5,68.99375,28.9,183.6125
Accipiter ovampensis,Accipitridae,Accipitriformes,195,Shrubland,2,Carnivore,Vertivore,1,Aerial,20.5,11.2,7.52,10.280000000000001,49.42,38.3875,155
Accipiter poliocephalus,Accipitridae,Accipitriformes,214.8,Forest,1,Carnivore,Vertivore,1,Insessorial,25.025,15.425,10.087499999999999,13.712499999999999,60.3125,32.1125,157.225
Accipiter poliogaster,Accipitridae,Accipitriformes,315,Forest,1,Carnivore,Vertivore,2,Insessorial,27.71,14.925,8.02,13.2,52.4,29.625,174.6
Accipiter princeps,Accipitridae,Accipitriformes,214.8,Forest,1,Carnivore,Vertivore,1,Insessorial,33.6,22.225,13.825,17.8,68.025,29.200000000000003,192.3
Accipiter rhodogaster,Accipitridae,Accipitriformes,172.7,Forest,1,Carnivore,Vertivore,1,Insessorial,20.48,11.8,7.890000000000001,10.775,53.4,29.7,125.8
Accipiter rufitorques,Accipitridae,Accipitriformes,209,Forest,1,Carnivore,Vertivore,1,Generalist,26.009999999999998,15.425,10.29,13.68,59.18000000000001,34.087500000000006,146
Accipiter rufiventris,Accipitridae,Accipitriformes,198,Forest,1,Carnivore,Vertivore,1,Aerial,20.3,10.7,7.8100000000000005,10,54.18,38.125,165.8
Accipiter soloensis,Accipitridae,Accipitriformes,164.8,Forest,1,Carnivore,Vertivore,3,Insessorial,25.61,11.412500000000001,8.620000000000001,9.719999999999999,39.489999999999995,39,123.4
Accipiter striatus,Accipitridae,Accipitriformes,130.6,Forest,1,Carnivore,Vertivore,3,Aerial,18.317500000000003,10.090625,7.276315789473684,9.423529411764706,49.89,30.721875,134.30789473684212
Accipiter superciliosus,Accipitridae,Accipitriformes,96.4,Forest,1,Carnivore,Vertivore,1,Aerial,19.38,10.8,6.720000000000001,10.39,37.379999999999995,26.875,104.6
Accipiter tachiro,Accipitridae,Accipitriformes,290.2,Forest,1,Carnivore,Vertivore,1,Aerial,18.02,15.31,9.120000000000001,12.41,65.72,25.7,175
