Group,Genus,Species,Subspecies,Specimen ID,Date,Data,Country,Locality,Elevation,Other Info,Sex,Mass,Wing.Length,Secondary.Length,Kipps_D,HWI,Tarsus.Length,Tail.Length,Beak.Width,Beak.Depth,Beak.Length_Culmen,Measurer
Island,Coereba,flaveola,luteola,46435,,Y,TRINIDAD & TOBAGO,CANOE BAY FOREST,,,,10.45,64.74,54.72,10.02,15.47729379,18.27,35.48,3.23,3.57,12.51,Brynn
Island,Coereba,flaveola,,46436,,Y,TRINIDAD & TOBAGO,CANOE BAY FOREST,,,,11.1,65.61,52.88,12.73,19.4025301,17.89,43.59,3.13,3.73,12.55,Brynn
Island,Coereba,flaveola,luteola,46439,,Y,TRINIDAD & TOBAGO,CANOE BAY FOREST,,,,10.65,63.7,53.67,10.03,15.74568289,17.67,35.65,3.01,3.61,12.32,Brynn
Island,Coereba,flaveola,,46390,,Y,TRINIDAD & TOBAGO,TOBAGO FOREST RESERVE,,,,10.7,55.02,46.09,8.93,16.23046165,16.59,40.23,3.15,3.59,12.21,Brynn
Island,Coereba,flaveola,luteola,45883,,Y,TRINIDAD & TOBAGO,CANOE BAY FOREST,,,,11,57.86,47.87,9.99,17.26581403,15.6,38.71,3.32,3.8,12.22,Brynn
Island,Coereba,flaveola,luteola,46023,,Y,TRINIDAD & TOBAGO,,,,,10.1,51.94,41.08,10.86,20.90874085,16.6,34.43,3.04,3.77,11.46,Brynn
Mainland,Coereba,flaveola,caucae,36118,1/10/96,N,COLOMBIA,"COLOMBIA: VALLE DEL CAUCA, CALI, NEAR",1600m,,M,NA,57.47,47.78,9.69,16.86097094,13.18,38.73,3.21,NA,13.8,Mia
Mainland,Coereba,flaveola,caucae,36119,4/10/66,N,COLOMBIA,"COLOMBIA: VALLE DEL CAUCA, CALI, NEAR",1700m,,F,NA,54.23,46.43,7.8,14.38318274,14.73,34.54,3.7,NA,12.61,Mia
Mainland,Coereba,flaveola,mexicana,9228,NA,N,GUATEMALA,Guatemala,NA,beak opened,NA,NA,48.68,44.37,4.31,8.853738702,13.89,33.95,2.86,NA,12.49,Mia
Mainland,Coereba,flaveola,mexicana,9227,NA,N,MEXICO,mexico: MIRADOR,NA,NA,NA,NA,49.37,45.39,3.98,8.061575856,13.49,31.66,3.22,3.26,12.52,Mia
Mainland,Coereba,flaveola,mexicana,2177,2/7/49,N,MEXICO,Oaxaca: LaCova,1000m,,F,NA,50.49,46.09,4.4,8.71459695,15.1,30.81,2.94,3.41,12.6,Mia
